date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:17:12	75073/75073	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2021:31:13%20GMT	https://www.rexegg.com/regex-lookarounds.html?cp=2	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/regex-lookarounds31ef.html	(from https://www.rexegg.com/regex-lookarounds.html)
05:17:16	87760/87760	---M--	200	added ('OK')	image/png	etag:%22a93bc27a3a60caca0cca329a300aa8e4%22	http://a.yu8.us/xkcd-1031-leopard.png	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/a.yu8.us/xkcd-1031-leopard.png	(from https://www.rexegg.com/regex-humor.html)
05:17:16	28554/28554	---M--	200	added ('OK')	image/jpeg	etag:%2209af6b4417434471d17d0a8eb67ebc56%22	http://a.yu8.us/c_regex-bbbb_sm.jpg	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/a.yu8.us/c_regex-bbbb_sm.jpg	(from https://www.rexegg.com/regex-recursion.html)
05:17:19	14046/14046	---M--	200	added ('OK')	image/jpeg	etag:%22498feaf7cb4ccdefec488006d7089851%22	http://a.yu8.us/c_regex-recursive-groups_sm.jpg	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/a.yu8.us/c_regex-recursive-groups_sm.jpg	(from https://www.rexegg.com/regex-recursion.html)
05:17:20	8994/8994	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202015%2001:40:01%20GMT	https://www.rexegg.com/_latest/pcrepattern.html	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/_latest/pcrepattern.54.delayed	(from https://www.rexegg.com/regex-recursion.html)
05:17:22	139669/139669	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:22%20GMT	http://www.rexegg.com/pcre-doc/08.37/pcrepattern.html	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/pcre-doc/08.37/pcrepattern.html	(from https://www.rexegg.com/backtracking-control-verbs.html)
05:17:24	2184/2184	---M--	200	added ('OK')	text/plain	date:Fri,%2011%20Apr%202014%2022:15:44%20GMT	https://www.rexegg.com/regex_starwars.txt	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/regex_starwars.txt	(from https://www.rexegg.com/regex-quantifier-capture.html)
05:17:24	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:25%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1035.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapa328.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:25	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:25%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1035.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapc5ee.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:25	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://www.rexegg.com/regex-best-trick.html)
05:17:25	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:26%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1034.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapb43d.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:25	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:26%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1034.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap445a.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:26	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:26%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1033.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recape918.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:26	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:27%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1033.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap5091.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:26	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:27%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1022.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap459f.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:27	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:27%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1022.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap5980.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:27	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:27%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1021.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap22f0.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:27	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:28%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1021.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapda43.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:28	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:28%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1020.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapdc6e.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:28	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:28%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1020.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap36dd.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:28	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:29%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2grep-1010.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapd3df.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:29	1741/1741	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:29%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcre2test-1010.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap3272.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:29	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:29%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-844.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapa436.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:29	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:30%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-844.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap0974.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:29	104273/104273	---M--	200	added ('OK')	image/jpeg	etag:%227985a8648baaca05a34f8b39dcb57a8e%22	http://a.yu8.us/c_regex-recursive-groups.jpg	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/a.yu8.us/c_regex-recursive-groups.jpg	(from https://www.rexegg.com/regex-recursion.html)
05:17:29	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:30%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-843.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap6682.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:30	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:30%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-843.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapd508.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:30	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:31%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-838.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap43c9.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:30	151391/151391	---M--	200	added ('OK')	image/jpeg	etag:%22639497565aecdf24b7217d09b7a4ac45%22	http://a.yu8.us/c_regex-bbbb.jpg	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/a.yu8.us/c_regex-bbbb.jpg	(from https://www.rexegg.com/regex-recursion.html)
05:17:30	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:31%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-838.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapfafd.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:31	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:31%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-837.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapa71d.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:31	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:31%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-837.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap22d7.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:31	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:32%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-836.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap2d31.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:31	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:32%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-836.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapc2cb.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:32	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:32%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-835.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap61e5.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:32	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:33%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-835.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap8c95.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:32	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:33%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-834.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap961a.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:33	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:33%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-834.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap13b3.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:33	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:33%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-832.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap169d.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:33	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:34%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-832.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap67a5.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:34	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:34%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcregrep-831.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recap4c7c.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:34	1737/1737	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2021:17:34%20GMT	http://www.rexegg.com/dl/1-recap.php?f=pcretest-831.zip	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/dl/1-recapf00c.html	(from https://www.rexegg.com/pcregrep-pcretest.html)
05:17:35	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202020%2021:17:35%20GMT	https://www.rexegg.com/regexbuddy	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/www.rexegg.com/regexbuddy.77.delayed	(from https://www.rexegg.com/regex-tools.html)
05:17:35	10107/10107	---M--	200	added ('OK')	image/png	etag:%22026d22cca7dbe16ecc58814bb56feb2a%22	http://b.yu8.us/r101-explain.png	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/b.yu8.us/r101-explain.png	(from https://www.rexegg.com/regex-tools.html)
05:17:35	12020/12020	---M--	200	added ('OK')	image/png	etag:%2277ec2b79f6ca1a2b2a179ad499fe6a40%22	http://b.yu8.us/r101-menu.png	F:/My%20Files/Snippets/Javascript/Regex/Regex%20offline%20Web/Regex/b.yu8.us/r101-menu.png	(from https://www.rexegg.com/regex-tools.html)
